name,price,age,line,station_name,minutes,layout,area,address,url
箱崎エクセル南２２,1298,35,地下鉄空港線,福岡空港,30,4LDK,71.78,福岡県福岡市東区二又瀬新町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_73840279/
モントーレ姪浜,1390,30,地下鉄空港線,姪浜,20,3DK,53.46,福岡県福岡市西区下山門３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73461277/
原サンハイツ,1480,43,地下鉄空港線,藤崎,15,5LDK,95.21,福岡県福岡市早良区原１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74133449/
愛宕山ハイリビング,1540,50,地下鉄空港線,室見,8,2LDK,58.23,福岡県福岡市西区愛宕２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73336391/
大町団地7棟,1580,47,地下鉄空港線,姪浜,13,4LDK,86.05,福岡県福岡市西区大町団地,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_75018706/
オリエントハイツ新室見,1680,40,ＪＲ筑肥線,姪浜,19,2LDK,63.18,福岡県福岡市西区福重４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74613141/
中古マンション・室見第一住宅 11棟,1680,49,地下鉄空港線,室見,15,2LDK,66.39,福岡県福岡市早良区南庄４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74886480/
アンピール駅東,1680,41,地下鉄空港線,東比恵,9,3DK,56.15,福岡県福岡市博多区東光２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74972680/
鳥飼リバーハイツ　中古マンション,1870,45,地下鉄空港線,西新,16,2LDK,71.91,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74924548/
ロマネスク奈良屋,1900,42,地下鉄空港線,中洲川端,5,1LDK,50.25,福岡県福岡市博多区須崎町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74212238/
チサンマンション藤崎,2180,45,地下鉄空港線,藤崎,10,2LDK+S（納戸）,72.02,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74455715/
東峰マンション大濠,2190,47,地下鉄空港線,唐人町,16,2LDK,72.9,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71894128/
サンライフ西公園,2280,47,地下鉄空港線,唐人町,5,4LDK,83.68,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74132383/
サンライフ西公園　905号室,2280,47,地下鉄空港線,唐人町,6,4LDK,83.68,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74792088/
グランピア荒江,2290,44,地下鉄空港線,西新,17,3LDK,80.77,福岡県福岡市早良区荒江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73372543/
アンピール姪浜Ⅲ〇好立地〇素敵な眺望〇３面バルコニー…,2290,28,地下鉄空港線,姪浜,24,4LDK,80.97,福岡県福岡市西区下山門３-22-18,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74810310/
エンゼルマリナコート姪浜参番館,2298,30,地下鉄空港線,姪浜,12,2LDK,62.1,福岡県福岡市西区姪の浜３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73808786/
アンピール空港通り一号館,2299,35,地下鉄空港線,東比恵,20,3LDK,59.78,福岡県福岡市博多区吉塚４-8-36,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74243501/
ネストピア天神東Ⅲ,2300,7,地下鉄空港線,中洲川端,5,1LDK,31.74,福岡県福岡市博多区古門戸町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74885393/
アプローズ空港前,2350,25,地下鉄空港線,福岡空港,14,3LDK,66.89,福岡県福岡市博多区青木１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74428866/
ライオンズマンション高取,2390,41,地下鉄空港線,藤崎,10,2LDK,62.4,福岡県福岡市早良区高取１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74732246/
シャンボール大濠　中古マンション,2390,46,地下鉄空港線,西新,11,3LDK,74.88,福岡県福岡市中央区鳥飼３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74127773/
シティライフ空港東,2390,29,地下鉄空港線,福岡空港,20,4LDK,75.6,福岡県糟屋郡志免町別府４,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_74886476/
室見第２住宅３６号棟,2390,48,地下鉄空港線,室見,11,3LDK,67.0,福岡県福岡市早良区南庄５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74994210/
アンピール空港通り,2399,35,地下鉄空港線,東比恵,20,3LDK,59.78,福岡県福岡市博多区吉塚４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74838074/
サーパス新室見Ⅱ,2480,31,地下鉄空港線,姪浜,22,3LDK,69.05,福岡県福岡市西区石丸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73629890/
Asobi+  パーク・サンリヤン博多の森I・II番…,2490,21,地下鉄空港線,福岡空港,13,3LDK,76.68,福岡県糟屋郡志免町別府西２,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_72778033/
グリーンマンション姪浜,2490,42,地下鉄空港線,姪浜,12,3LDK,69.66,福岡県福岡市西区姪の浜１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74732705/
皐月マンション奈良屋,2680,44,地下鉄空港線,中洲川端,9,2LDK,78.46,福岡県福岡市博多区奈良屋町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74084215/
ロマネスク大名,2698,37,地下鉄空港線,赤坂,8,2LDK,57.96,福岡県福岡市中央区大名１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74934138/
ロマネスク大名,2698,40,地下鉄空港線,赤坂,8,2LDK,57.96,福岡県福岡市中央区大名１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74954036/
マリナタウンクレアコースト4番館,2780,27,地下鉄空港線,室見,26,3LDK,73.45,福岡県福岡市西区愛宕浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74811039/
ライオンズマンション西公園第六,2780,39,地下鉄空港線,大濠公園,5,2LDK,60.48,福岡県福岡市中央区荒戸１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74574490/
祖原公園ハウス,2790,41,地下鉄空港線,西新,9,2LDK,66.62,福岡県福岡市早良区祖原,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74689372/
パークハウス警固フォレスト,2880,17,地下鉄空港線,赤坂,12,1LDK,49.66,福岡県福岡市中央区警固３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71669909/
JGMヴェルデ室見,2980,27,地下鉄空港線,室見,9,3LDK,67.4,福岡県福岡市西区愛宕２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74006416/
ロマネスク西公園台7,2990,33,地下鉄空港線,大濠公園,16,3LDK,69.3,福岡県福岡市中央区港３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74420355/
弥生パインマンション,3180,42,地下鉄空港線,藤崎,12,3LDK,94.77,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74404779/
グリーンハイツ室見河畔,3290,28,地下鉄空港線,姪浜,22,2LDK+S（納戸）,72.34,福岡県福岡市早良区小田部６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74775166/
クリオラベルヴィ博多,3390,5,地下鉄空港線,東比恵,3,2LDK,43.36,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74792176/
クリオラベルヴィ博多,3390,5,地下鉄空港線,東比恵,5,2LDK,43.36,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74802697/
クラブエイリック室見パークサイド,3480,12,地下鉄空港線,姪浜,23,3LDK,65.4,福岡県福岡市早良区小田部６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74282683/
プレサンスロジェ博多駅北,3580,5,地下鉄空港線,東比恵,16,2LDK,57.09,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73728236/
アクロス原ブルームテラス,3590,10,地下鉄空港線,室見,18,3LDK,71.51,福岡県福岡市早良区原４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74899761/
ライオンズガーデンシティ鳥飼I番館,3680,26,地下鉄空港線,西新,15,3LDK,74.11,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74651887/
アンピール天神東,3880,20,地下鉄空港線,祇園,14,2LDK,65.04,福岡県福岡市中央区春吉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72841284/
プレサンスロジェ博多駅北,3898,5,地下鉄空港線,東比恵,15,3LDK,66.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74942784/
