name,price,address,access,area,layout,yyyymm_construction,url
チサンマンション藤崎　　　　　　　　　　　　　　　　…,1680万円,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩10分,72.02m2（壁芯）,2LDK+S（納戸）,1979年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76938928/
ロイヤルマンション荒江,1780万円,福岡県福岡市城南区荒江１,地下鉄七隈線「別府」徒歩14分,52.32m2（壁芯）,2LDK+S（納戸）,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76338997/
ライオンズマンション天神,1780万円,福岡県福岡市中央区舞鶴１-2-33,地下鉄空港線「赤坂」徒歩7分,45.3m2（13.70坪）（壁芯）,1LDK,1979年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76725434/
コープオリンピア平尾　　　　　　　　　　　　　　　　…,1890万円,福岡県福岡市中央区白金２,西鉄天神大牟田線「薬院」徒歩13分,55.82m2（壁芯）,2LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77001904/
メゾン高砂,1980万円,福岡県福岡市中央区高砂２,西鉄天神大牟田線「薬院」徒歩13分,80.13m2,3LDK,1978年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75552672/
ライオンズマンション西公園,1998万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,54.33m2（16.43坪）（登記）,2LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75591726/
ライオンズマンション西公園第2,1998万円,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩10分,35.88m2（壁芯）,1LDK+S（納戸）,1983年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76366247/
弥生パインマンション,2180万円,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩13分,94.77m2（壁芯）,4LDK,1982年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76620703/
プレスタイル博多ＥＡＳＴ　　　　　　　　　　　　　　…,2250万円,福岡県福岡市博多区堅粕３,地下鉄空港線「祇園」徒歩15分,41.95m2（壁芯）,2LDK,2009年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77002554/
コープオリンピア平尾,2380万円,福岡県福岡市中央区白金２,西鉄天神大牟田線「薬院」徒歩14分,55.18m2（壁芯）,2LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77096203/
コープオリンピア平尾,2380万円,福岡県福岡市中央区白金２-11-30,西鉄天神大牟田線「薬院」徒歩14分,55.18m2,2LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76981665/
東薬院パーク・マンション,2430万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩6分,77.08m2（壁芯）,2LDK,1986年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76485918/
パーク・ハイム鳥飼,2480万円,福岡県福岡市城南区鳥飼５-17-33,地下鉄七隈線「別府」徒歩9分,79.52m2,3LDK,1981年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76520020/
エバーライフ桜坂,2480万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩7分,94.2m2,4LDK,1979年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77109061/
ガーデンハイツ大濠,2500万円,福岡県福岡市中央区草香江１,地下鉄七隈線「六本松」徒歩9分,64.6m2（19.54坪）（壁芯）,3LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77135247/
エンゼルハイム田島,2550万円,福岡県福岡市城南区田島２-8-33,地下鉄七隈線「別府」徒歩14分,74.88m2,3LDK,1989年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76842746/
エンゼルハイム田島,2550万円,福岡県福岡市城南区田島２,地下鉄七隈線「別府」徒歩11分,74.88m2（22.65坪）（壁芯）,3LDK,1989年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76846423/
渡辺通カステリア,2580万円,福岡県福岡市中央区渡辺通２,西鉄天神大牟田線「薬院」徒歩5分,69.76m2（壁芯）,1LDK,1980年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76704534/
ライオンズマンションマキシム平尾,2680万円,福岡県福岡市中央区平尾４,地下鉄七隈線「薬院大通」徒歩15分,44.27m2（壁芯）,1LDK,1991年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76920701/
シティマンション平尾　　　　　　　　　　　　　　　　…,2700万円,福岡県福岡市中央区平尾２,西鉄天神大牟田線「薬院」徒歩10分,55m2（壁芯）,2LDK,1984年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76947287/
シティマンション平尾,2700万円,福岡県福岡市中央区平尾２,西鉄天神大牟田線「薬院」徒歩12分,55m2（壁芯）,2LDK,1984年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77015858/
グランフォーレ西新パサージュ,2880万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩6分,31.02m2（壁芯）,1LDK,2021年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75570199/
オリエントハイツ西公園,2980万円,福岡県福岡市中央区荒戸３-4-3,地下鉄空港線「大濠公園」徒歩8分,69.85m2（21.12坪）（壁芯）,3LDK,1984年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76704097/
東峰マンションハイツ今川,2980万円,福岡県福岡市中央区今川１,地下鉄空港線「唐人町」徒歩4分,66.96m2（壁芯）,2LDK,1979年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76912059/
ダイアパレス西新南,2980万円,福岡県福岡市早良区荒江２,地下鉄空港線「西新」徒歩15分,70.56m2（壁芯）,3LDK,1996年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76998102/
