name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
箱崎エクセル南２２,1298,福岡県福岡市東区二又瀬新町,地下鉄空港線「福岡空港」徒歩30分,71.78,4LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_73840279/,福岡空港,地下鉄空港線,30,1989-04-01,35
モントーレ姪浜,1390,福岡県福岡市西区下山門３,地下鉄空港線「姪浜」徒歩20分,53.46,3DK,1994年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73461277/,姪浜,地下鉄空港線,20,1994-05-01,30
原サンハイツ,1480,福岡県福岡市早良区原１,地下鉄空港線「藤崎」徒歩15分,95.21,5LDK,1981年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74133449/,藤崎,地下鉄空港線,15,1981-01-01,43
愛宕山ハイリビング,1540,福岡県福岡市西区愛宕２,地下鉄空港線「室見」徒歩8分,58.23,2LDK,1974年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73336391/,室見,地下鉄空港線,8,1974-05-01,50
大町団地7棟,1580,福岡県福岡市西区大町団地,地下鉄空港線「姪浜」徒歩13分,86.05,4LDK,1977年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_75018706/,姪浜,地下鉄空港線,13,1977-12-01,47
オリエントハイツ新室見,1680,福岡県福岡市西区福重４,ＪＲ筑肥線「姪浜」徒歩19分,63.18,2LDK,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74613141/,姪浜,ＪＲ筑肥線,19,1984-03-01,40
中古マンション・室見第一住宅 11棟,1680,福岡県福岡市早良区南庄４,地下鉄空港線「室見」徒歩15分,66.39,2LDK,1975年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74886480/,室見,地下鉄空港線,15,1975-05-01,49
アンピール駅東,1680,福岡県福岡市博多区東光２,地下鉄空港線「東比恵」徒歩9分,56.15,3DK,1983年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74972680/,東比恵,地下鉄空港線,9,1983-03-01,41
鳥飼リバーハイツ　中古マンション,1870,福岡県福岡市城南区鳥飼４,地下鉄空港線「西新」徒歩16分,71.91,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74924548/,西新,地下鉄空港線,16,1979-08-01,45
ロマネスク奈良屋,1900,福岡県福岡市博多区須崎町,地下鉄空港線「中洲川端」徒歩5分,50.25,1LDK,1982年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74212238/,中洲川端,地下鉄空港線,5,1982-10-01,42
チサンマンション藤崎,2180,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩10分,72.02,2LDK+S（納戸）,1979年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74455715/,藤崎,地下鉄空港線,10,1979-02-01,45
東峰マンション大濠,2190,福岡県福岡市中央区鳥飼１,地下鉄空港線「唐人町」徒歩16分,72.9,2LDK,1977年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71894128/,唐人町,地下鉄空港線,16,1977-07-01,47
