name,price,age,line,station_name,minutes,layout,area,address,url
チサンマンション藤崎　　　　　　　　　　　　　　　　…,1680,46,地下鉄空港線,藤崎,10,2LDK+S（納戸）,72.02,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76938928/
ライオンズマンション天神,1780,46,地下鉄空港線,赤坂,7,1LDK,45.3,福岡県福岡市中央区舞鶴１-2-33,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76725434/
コープオリンピア平尾　　　　　　　　　　　　　　　　…,1890,43,西鉄天神大牟田線,薬院,13,2LDK,55.82,福岡県福岡市中央区白金２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77001904/
メゾン高砂,1980,47,西鉄天神大牟田線,薬院,13,3LDK,80.13,福岡県福岡市中央区高砂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75552672/
ライオンズマンション西公園,1998,46,地下鉄空港線,大濠公園,8,2LDK,54.33,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75591726/
ライオンズマンション西公園第2,1998,42,地下鉄空港線,大濠公園,10,1LDK+S（納戸）,35.88,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76366247/
弥生パインマンション,2180,43,地下鉄空港線,藤崎,13,4LDK,94.77,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76620703/
プレスタイル博多ＥＡＳＴ　　　　　　　　　　　　　　…,2250,16,地下鉄空港線,祇園,15,2LDK,41.95,福岡県福岡市博多区堅粕３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77002554/
コープオリンピア平尾,2380,43,西鉄天神大牟田線,薬院,14,2LDK,55.18,福岡県福岡市中央区白金２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77096203/
コープオリンピア平尾,2380,43,西鉄天神大牟田線,薬院,14,2LDK,55.18,福岡県福岡市中央区白金２-11-30,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76981665/
東薬院パーク・マンション,2430,39,地下鉄七隈線,薬院大通,6,2LDK,77.08,福岡県福岡市中央区薬院４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76485918/
パーク・ハイム鳥飼,2480,44,地下鉄七隈線,別府,9,3LDK,79.52,福岡県福岡市城南区鳥飼５-17-33,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76520020/
エバーライフ桜坂,2480,46,地下鉄七隈線,桜坂,7,4LDK,94.2,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77109061/
