name,price,address,access,area,layout,yyyymm_construction,url
ホワイティ薬院,1250万円,福岡県福岡市中央区薬院１-6-5,西鉄天神大牟田線「薬院」徒歩4分,38.89m2（11.76坪）（壁芯）,1DK,1975年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77769283/
インペリアル平尾台　　　　　　　　　　　　　　　　　…,1480万円,福岡県福岡市中央区平尾３,地下鉄七隈線「薬院大通」徒歩11分,60.57m2（壁芯）,3LDK,1975年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78103806/
第７プリンスマンション高砂,1490万円,福岡県福岡市中央区高砂１,地下鉄七隈線「渡辺通」徒歩9分,46.86m2（壁芯）,2LDK,1978年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78348652/
パークハイツ桜坂　　　　　　　　　　　　　　　　　　…,1780万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩2分,67.2m2（壁芯）,3LDK,1977年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78075369/
秀和警固レジデンス　　　　　　　　　　　　　　　　　…,1820万円,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩7分,54.88m2（壁芯）,2LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78119811/
パーク・ハイム鳥飼,1980万円,福岡県福岡市城南区鳥飼５-17-33,地下鉄七隈線「別府」徒歩9分,79.52m2,3LDK,1981年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76520020/
シティマンション高砂二号館,2098万円,福岡県福岡市中央区高砂２,地下鉄七隈線「渡辺通」徒歩13分,50.22m2（壁芯）,3DK,1984年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77581283/
東カン第二キャステール,2180万円,福岡県福岡市博多区比恵町1-18,地下鉄空港線「東比恵」徒歩10分,51.66m2（壁芯）,1LDK,1975年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78142618/
大濠ハイツ,2299万円,福岡県福岡市中央区六本松３-16-28,地下鉄七隈線「桜坂」徒歩11分,71.28m2,3LDK,1977年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78217837/
藤和別府コープ,2380万円,福岡県福岡市城南区別府５-2-5,地下鉄七隈線「別府」徒歩3分,62.16m2,1LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78013493/
