name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
シティマンション輝国,950,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.43,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20230915/,六本松,地下鉄七隈線,15,1984-01-01,42,20230915
シティマンション輝国,1430,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.06,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293641/,六本松,地下鉄七隈線,15,1984-01-01,42,20293641
ゾンネンハイム大手門,1599,福岡県福岡市中央区大手門２-5-10,地下鉄空港線「大濠公園」徒歩8分,33.0,1K,1973年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21374647/,大濠公園,地下鉄空港線,8,1973-08-01,53,21374647
皐月マンション奈良屋,1980,福岡県福岡市博多区奈良屋町12-18,地下鉄空港線「中洲川端」徒歩11分,53.28,2LDK,1980年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21200951/,中洲川端,地下鉄空港線,11,1980-07-01,46,21200951
ネオハイツ大濠Ⅱ,2000,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩12分,79.06,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21455969/,六本松,地下鉄七隈線,12,1982-02-01,44,21455969
ライオンズマンション昭代,2198,福岡県福岡市早良区昭代１,地下鉄空港線「西新」徒歩14分,58.8,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21319151/,西新,地下鉄空港線,14,1981-03-01,45,21319151
ライオンズマンション昭代,2198,福岡県福岡市早良区昭代１,地下鉄空港線「西新」徒歩13分,58.8,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21345281/,西新,地下鉄空港線,13,1981-03-01,45,21345281
藤和別府コープ,2599,福岡県福岡市城南区別府５-2-5,地下鉄七隈線「別府」徒歩5分,62.16,3LDK,1983年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78888074/,別府,地下鉄七隈線,5,1983-05-01,43,78888074
グランフォーレプライム西新,2600,福岡県福岡市早良区西新１,地下鉄空港線「西新」徒歩2分,33.48,1LDK,2010年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21298147/,西新,地下鉄空港線,2,2010-05-01,16,21298147
東峰マンション西公園　中古マンション,2680,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩7分,48.59,2LDK,1978年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21172028/,大濠公園,地下鉄空港線,7,1978-09-01,48,21172028
