id,name,price,age,line,station_name,minutes,layout,area,address,url
20000398,エフグラン室見,5380,7,地下鉄空港線,藤崎,6,2LDK,59.49,福岡県福岡市早良区室見２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20000398/
20000819,パークアソシア大野城駅前,4398,8,ＪＲ鹿児島本線,大野城,3,3LDK,70.51,福岡県大野城市白木原２,https://suumo.jp//ms/chuko/fukuoka/sc_onojo/nc_20000819/
20001055,クリオラベルヴィ呉服町,4699,8,地下鉄箱崎線,呉服町,5,2LDK,47.0,福岡県福岡市博多区下呉服町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20001055/
20001594,赤坂エクセル,3790,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３-8-26,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20001594/
20001682,ヴェルドミール薬院,2799,46,西鉄天神大牟田線,薬院,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20001682/
20001850,レジア赤坂テラス,7800,10,地下鉄空港線,赤坂,6,3LDK,75.44,福岡県福岡市中央区長浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20001850/
20002791,シティマンション薬院Ⅱ,2950,41,西鉄天神大牟田線,薬院,4,2LDK,57.42,福岡県福岡市中央区大宮１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20002791/
20003363,ブリリアタワー西新,16500,5,地下鉄空港線,西新,1,2LDK,79.93,福岡県福岡市早良区西新４-1-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20003363/
20003455,ロワールマンション西公園東,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20003455/
20003640,ヴェルドミール薬院,2899,46,地下鉄七隈線,薬院大通,6,2LDK,68.26,福岡県福岡市中央区薬院３-12-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20003640/
20004515,クレストはら南,3190,36,地下鉄七隈線,次郎丸,6,3LDK,63.48,福岡県福岡市早良区次郎丸１-1-8,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20004515/
20004752,のむら貝塚ガーデンシティ六番館,2780,35,地下鉄箱崎線,貝塚,9,1LDK,73.55,福岡県福岡市東区箱崎５-11-6,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_20004752/
20004765,ロワールマンション西公園東,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20004765/
20005095,シティライフ春日小倉,2050,31,ＪＲ鹿児島本線,南福岡,15,3LDK,67.27,福岡県春日市小倉５,https://suumo.jp//ms/chuko/fukuoka/sc_kasuga/nc_20005095/
20005131,エスポワール南福岡,2250,30,ＪＲ鹿児島本線,南福岡,7,2LDK,61.36,福岡県福岡市博多区昭南町３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20005131/
20005198,グランドメゾン大濠公園THE CLASS,12000,2,地下鉄空港線,大濠公園,4,2LDK,60.35,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005198/
20005281,デュ・レジア平尾,4180,10,西鉄天神大牟田線,薬院,15,1LDK,42.07,福岡県福岡市中央区那の川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005281/
20005310,ロワール春日原駅前２番館,4480,22,ＪＲ鹿児島本線,春日,6,4LDK,78.31,福岡県春日市春日原北町２-24-2,https://suumo.jp//ms/chuko/fukuoka/sc_kasuga/nc_20005310/
20005385,ロワールマンション西公園東◆☆開放感のあるお部屋☆◆,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005385/
20005567,デュオヴェール博多駅,3580,3,ＪＲ鹿児島本線,博多,5,1LDK,31.35,福岡県福岡市博多区博多駅東１-５－１５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20005567/
20005865,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005865/
20006431,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20006431/
20006864,モントーレ東比恵クレア,4499,7,地下鉄空港線,東比恵,3,1LDK+S（納戸）,42.77,福岡県福岡市博多区東比恵３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20006864/
20007127,グランフォーレラグゼ箱崎,2040,9,地下鉄箱崎線,箱崎宮前,3,1LDK,34.22,福岡県福岡市東区箱崎１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_20007127/
20007443,ロワールマンション西公園東,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20007443/
20008698,オリエントハイツ西公園,2690,42,地下鉄空港線,大濠公園,8,2LDK,69.85,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20008698/
20008981,サンリヤン大野城駅前ブランシエラ,4898,1,ＪＲ鹿児島本線,大野城,3,3LDK,65.63,福岡県大野城市白木原２-1-15,https://suumo.jp//ms/chuko/fukuoka/sc_onojo/nc_20008981/
20009984,コープ野村白金,3510,43,地下鉄七隈線,薬院,6,2LDK,64.54,福岡県福岡市中央区白金１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20009984/
20010345,赤坂エクセル,3550,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20010345/
20010783,ロワールマンション室見川,1630,36,地下鉄空港線,室見,10,2LDK,51.3,福岡県福岡市西区愛宕南２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20010783/
20011012,ヴェルドミール薬院,2799,46,西鉄天神大牟田線,薬院,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011012/
20011250,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,6,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011250/
20013174,三愛シティライフ今宿駅,1780,32,ＪＲ筑肥線,今宿,12,3LDK,61.42,福岡県福岡市西区今宿東１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20013174/
20013186,サンリベラ・プライム天神大名レジデンス,7220,34,地下鉄空港線,赤坂,4,1LDK,76.68,福岡県福岡市中央区大名２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20013186/
20013391,ダイアパレスセントラルコート薬院,6200,29,西鉄天神大牟田線,薬院,6,3LDK,76.78,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20013391/
20014031,ＭＪＲ博多ザ・レジデンス,8500,1,ＪＲ鹿児島本線,博多,13,3LDK,70.49,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20014031/
20014366,ネクサス薬院,13300,11,地下鉄七隈線,薬院大通,3,3LDK,94.52,福岡県福岡市中央区薬院１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20014366/
20014573,ライオンズマンション薬院第2,2999,46,地下鉄七隈線,薬院大通,6,3LDK,81.48,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20014573/
20015240,サンリヤン小戸,4780,7,ＪＲ筑肥線,下山門,10,3LDK,70.06,福岡県福岡市西区小戸４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20015240/
20015800,シティマンション薬院,3380,42,地下鉄七隈線,薬院大通,3,2LDK,56.22,福岡県福岡市中央区薬院１-10-16,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20015800/
20017782,赤坂エクセル　リ ノ ベ ー シ ョ ン　V R 動…,2280,52,地下鉄七隈線,桜坂,13,1LDK,41.66,福岡県福岡市中央区赤坂３-8-26,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20017782/
20017862,トーカンマンション今泉,3199,46,地下鉄七隈線,天神南,7,2LDK,60.84,福岡県福岡市中央区今泉１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20017862/
20018636,エスポワール南福岡,2250,30,ＪＲ鹿児島本線,南福岡,7,2LDK,61.36,福岡県福岡市博多区昭南町３-4-31,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20018636/
20019159,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20019159/
20020124,ロマネスク大濠アネックス,3199,39,地下鉄空港線,唐人町,12,2LDK,59.65,福岡県福岡市中央区鳥飼２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20020124/
20020216,朝日プラザ桜坂,3480,40,地下鉄七隈線,桜坂,6,2LDK,67.26,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20020216/
20020629,南福岡オークハウス,3290,17,ＪＲ鹿児島本線,南福岡,9,2LDK,60.36,福岡県福岡市博多区東雲町２-2-2,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20020629/
20021542,ハイライフ大濠,2480,44,地下鉄七隈線,六本松,9,2LDK,67.41,福岡県福岡市中央区草香江２-12-4,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20021542/
20021827,スコーレ舞鶴,3880,42,地下鉄空港線,赤坂,6,2LDK,79.62,福岡県福岡市中央区舞鶴１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20021827/
20022186,シャトレ七隈,1450,44,地下鉄七隈線,梅林,2,1LDK,45.36,福岡県福岡市城南区梅林２-10-26,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20022186/
20022978,スカイマンション南福岡,680,41,ＪＲ鹿児島本線,春日,7,2LDK,62.86,福岡県福岡市博多区新和町２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20022978/
20023732,エメラルドマンション吉塚,2490,43,ＪＲ篠栗線,吉塚,13,2LDK,61.02,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20023732/
20024028,ダイアパレスグランデージ今宿,2990,23,ＪＲ筑肥線,今宿,7,3LDK,85.25,福岡県福岡市西区今宿東２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20024028/
20024378,周船寺ア・ラ・モード,1880,42,ＪＲ筑肥線,周船寺,11,3LDK,62.37,福岡県福岡市西区周船寺３-8-13,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20024378/
20024816,グランドメゾン福岡The Central Luxe,11000,1,西鉄天神大牟田線,薬院,2,1LDK,51.35,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20024816/
20024817,ステイタスマンション姪浜,690,37,地下鉄空港線,姪浜,10,ワンルーム,22.35,福岡県福岡市西区姪の浜６-11-2,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20024817/
20025395,ビレッタ百道,2580,51,地下鉄空港線,藤崎,11,2LDK,60.5,福岡県福岡市早良区百道１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20025395/
20025586,エクレール愛宕,2490,42,地下鉄空港線,室見,8,2LDK,59.53,福岡県福岡市西区愛宕１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20025586/
20025843,オーヴィジョン博多古門戸,3080,7,地下鉄空港線,中洲川端,7,1LDK,34.62,福岡県福岡市博多区古門戸町8-11,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20025843/
20026023,エスポワール南福岡,2250,30,ＪＲ鹿児島本線,南福岡,7,2LDK,61.36,福岡県福岡市博多区昭南町３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20026023/
20027075,サーパス浄水通り,8800,23,地下鉄七隈線,薬院大通,4,3LDK,97.42,福岡県福岡市中央区薬院４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20027075/
20027106,ロワールマンション西公園東,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20027106/
20027276,ビレッタ百道,2580,51,地下鉄空港線,藤崎,12,2LDK,60.5,福岡県福岡市早良区百道１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20027276/
20027334,アンピール竹下,2598,39,ＪＲ鹿児島本線,竹下,4,2LDK,55.26,福岡県福岡市博多区竹下４-1-36,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20027334/
20028481,クリオ渡辺通サザンマークス,5980,2,地下鉄七隈線,渡辺通,14,3LDK,67.0,福岡県福岡市中央区清川３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20028481/
20029312,ビレッタ百道,2580,51,地下鉄空港線,藤崎,12,2LDK,60.5,福岡県福岡市早良区百道１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20029312/
20030316,ライオンズマンション大濠パークサイド,10800,23,地下鉄七隈線,六本松,10,3LDK,103.85,福岡県福岡市中央区鳥飼２-1-40,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20030316/
20030454,ダイナコート吉塚,3699,37,ＪＲ鹿児島本線,吉塚,9,3LDK+S（納戸）,78.58,福岡県福岡市博多区吉塚５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20030454/
20030577,レジア赤坂テラス,7800,10,地下鉄空港線,赤坂,6,3LDK,75.44,福岡県福岡市中央区長浜２-3-5,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20030577/
20030851,グランピアマンションアーガス吉塚,4299,29,ＪＲ鹿児島本線,吉塚,10,3LDK,70.0,福岡県福岡市博多区吉塚５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20030851/
20031433,クレストはら南,3190,36,地下鉄七隈線,次郎丸,6,3LDK,63.48,福岡県福岡市早良区次郎丸１-1-8,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20031433/
20031460,サーパス桜坂,4900,26,地下鉄七隈線,桜坂,5,3LDK,71.63,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20031460/
20032764,CLUB THE 大濠二丁目,12980,7,地下鉄空港線,唐人町,7,2LDK,91.07,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20032764/
20033455,チサンマンション天神III,1480,46,地下鉄空港線,赤坂,1,1DK,28.2,福岡県福岡市中央区大名２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20033455/
20033456,リファレンス天神南,4599,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20033456/
20033645,パーク・サンリヤン博多の森Ⅴ番館,4180,9,地下鉄空港線,福岡空港,12,4LDK,85.36,福岡県糟屋郡志免町別府西２,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20033645/
20034338,トーカンマンション今泉一〇,2999,46,西鉄天神大牟田線,薬院,8,2LDK,60.84,福岡県福岡市中央区今泉１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20034338/
