name,price,address,access,area,layout,yyyymm_construction,url
春日原ハイツ,1490万円,福岡県大野城市錦町３,ＪＲ鹿児島本線「春日」徒歩12分,72.1m2（21.81坪）,3LDK,1974年8月,https://suumo.jp//ms/chuko/fukuoka/sc_onojo/nc_78246837/
ファミール輝国,1580万円,福岡県福岡市中央区輝国２-8-20,地下鉄七隈線「六本松」徒歩14分,68m2（20.56坪）（壁芯）,3LDK,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77795131/
グラン・ドムール周船寺,1990万円,福岡県福岡市西区大字千里,ＪＲ筑肥線「周船寺」徒歩14分,68.16m2（壁芯）,3LDK,1990年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78938869/
グランフォーレラグゼ箱崎,2040万円,福岡県福岡市東区箱崎１,地下鉄箱崎線「箱崎宮前」徒歩3分,34.22m2（壁芯）,1LDK,2017年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_20007127/
イトーピア井尻桜ヶ丘公園　【担当：蔵内】　までお気軽…,2180万円,福岡県春日市桜ヶ丘５,ＪＲ鹿児島本線「笹原」徒歩14分,67.28m2（20.35坪）（壁芯）,3LDK,1996年10月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuga/nc_78547211/
ライオンズマンション鳥飼,2190万円,福岡県福岡市城南区鳥飼６-15-33,地下鉄七隈線「別府」徒歩8分,62.69m2（壁芯）,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78839026/
ライオンズマンション鳥飼,2190万円,福岡県福岡市城南区鳥飼６-15-33,地下鉄七隈線「別府」徒歩9分,62.69m2（18.96坪）,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79102096/
Asobi+　エクセレンス天神,2430万円,福岡県福岡市中央区那の津１,地下鉄空港線「天神」徒歩10分,67.8m2（20.50坪）（壁芯）,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79016911/
ハイライフ大濠,2480万円,福岡県福岡市中央区草香江２-12-4,地下鉄七隈線「六本松」徒歩10分,67.41m2（20.39坪）（壁芯）,2LDK,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76622293/
スタシオン名島ガーデンプレイス,2480万円,福岡県福岡市東区松崎４,ＪＲ鹿児島本線「千早」徒歩12分,97.04m2（壁芯）,4LDK,1995年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_77407281/
ダイアパレス薬院 205,2480万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩4分,36.37m2（壁芯）,ワンルーム,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78975688/
ビレッタ百道,2580万円,福岡県福岡市早良区百道１,地下鉄空港線「藤崎」徒歩12分,60.5m2（壁芯）,2LDK,1975年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20098395/
ロワールマンショングレイス井尻,2580万円,福岡県福岡市南区井尻２,ＪＲ鹿児島本線「笹原」徒歩11分,70.29m2（壁芯）,2LDK,1991年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_20050036/
コープ野村姪浜,2590万円,福岡県福岡市西区愛宕１,地下鉄空港線「姪浜」徒歩8分,82.53m2（24.96坪）（壁芯）,3LDK,1984年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78715760/
エクセレンス谷,2590万円,福岡県福岡市中央区谷１,地下鉄七隈線「六本松」徒歩6分,57.23m2（17.31坪）（壁芯）,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/
アンピール竹下,2598万円,福岡県福岡市博多区竹下４-1-36,ＪＲ鹿児島本線「竹下」徒歩4分,55.26m2（16.71坪）（壁芯）,2LDK,1987年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20027334/
リーベスト南福岡,2599万円,福岡県福岡市博多区光丘町１-28-1,ＪＲ鹿児島本線「春日」徒歩10分,70.55m2,3LDK,1991年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78480491/
のむら貝塚ガーデンシティ壱番館,2630万円,福岡県福岡市東区箱崎５,地下鉄箱崎線「貝塚」徒歩9分,65.44m2（壁芯）,3LDK,1985年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_77301064/
アーバンパレス井尻南,2780万円,福岡県福岡市博多区南八幡町１,ＪＲ鹿児島本線「南福岡」徒歩11分,72.1m2（壁芯）,3LDK,2008年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78140945/
大野城ハウシーズ,2780万円,福岡県大野城市中央２,ＪＲ鹿児島本線「大野城」徒歩10分,62.01m2（壁芯）,2LDK+S（納戸）,2007年11月,https://suumo.jp//ms/chuko/fukuoka/sc_onojo/nc_79177835/
ヴェルドミール薬院,2799万円,福岡県福岡市中央区薬院３,地下鉄七隈線「薬院大通」徒歩5分,68.26m2（壁芯）,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005865/
グリーンマンション南福岡,2898万円,福岡県福岡市博多区南八幡町２-9-19,ＪＲ鹿児島本線「南福岡」徒歩11分,81.72m2（24.72坪）（壁芯）,3LDK,1997年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_79139386/
サーパス周船寺,2980万円,福岡県福岡市西区周船寺３,ＪＲ筑肥線「周船寺」徒歩9分,86.57m2（26.18坪）（壁芯）,4LDK,1991年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_79221190/
藤和今泉コープ,2980万円,福岡県福岡市中央区今泉２-4-58,地下鉄七隈線「薬院大通」徒歩8分,69.6m2（21.05坪）（壁芯）,3LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78541566/
ライオンズマンション薬院第2,2999万円,福岡県福岡市中央区薬院２-17-1,地下鉄七隈線「薬院大通」徒歩7分,81.48m2,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77750945/
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
Asobi＋　グリーンマンション七隈,3130万円,福岡県福岡市城南区七隈７,地下鉄七隈線「七隈」徒歩3分,66.65m2（20.16坪）（壁芯）,3LDK,1993年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79025870/
朝日プラザ天神,3180万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「天神」徒歩5分,57.33m2（壁芯）,1LDK,1986年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78975782/
サンライフ香椎Ｂ棟,3198万円,福岡県福岡市東区千早５,ＪＲ鹿児島本線「千早」徒歩6分,72.98m2（壁芯）,3LDK,1983年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_79076401/
ロマネスク大濠アネックス,3199万円,福岡県福岡市中央区鳥飼２-6-15,地下鉄空港線「唐人町」徒歩14分,59.65m2,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79090280/
アンピール西公園,3199万円,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩7分,73.18m2（22.13坪）（壁芯）,3LDK+S（納戸）,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79135091/
コアマンション箱崎駅前,3280万円,福岡県福岡市東区箱崎３,ＪＲ鹿児島本線「箱崎」徒歩4分,63.18m2（壁芯）,3LDK,1996年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_20050302/
ロイヤルマンション別府６,3390万円,福岡県福岡市城南区別府６,地下鉄七隈線「別府」徒歩6分,82.27m2（24.88坪）,3LDK,1994年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79025486/
ライオンズヒルズ桜坂,3398万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,68.25m2（壁芯）,3LDK,1986年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78915180/
グリーンマンション神松寺ナチュレ弐番館,3440万円,福岡県福岡市城南区神松寺３,地下鉄七隈線「七隈」徒歩14分,74.75m2,2LDK,1999年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78566667/
グリーンマンション神松寺ナチュレ弐番館,3440万円,福岡県福岡市城南区神松寺３-6-36,地下鉄七隈線「七隈」徒歩15分,74.75m2,2LDK,1999年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79092242/
アーサー諸岡親水公園,3440万円,福岡県福岡市博多区諸岡５,ＪＲ鹿児島本線「笹原」徒歩8分,93.48m2（28.27坪）（壁芯）,4LDK,2002年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77582373/
