name,price,age,line,station_name,minutes,layout,area,address,url
ウイング藤崎,1380,40,地下鉄空港線,藤崎,14,2LDK,47.64,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75959628/
愛宕山ハイリビング,1400,50,地下鉄空港線,藤崎,19,2LDK,58.23,福岡県福岡市西区愛宕２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73336391/
エクシードマンション室見,1630,39,地下鉄空港線,藤崎,18,3LDK,63.63,福岡県福岡市早良区南庄１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76069174/
グランピア空港前,1649,38,地下鉄空港線,東比恵,48,2LDK,56.07,福岡県福岡市博多区青木１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75779913/
東峰マンション博多駅東,1650,39,地下鉄空港線,東比恵,7,2DK,42.82,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76234114/
福陵ハイデンス,1780,50,地下鉄空港線,藤崎,17,3LDK,63.25,福岡県福岡市早良区荒江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76150893/
ロマネスク祇園,1850,44,地下鉄七隈線,櫛田神社前,3,ワンルーム,40.56,福岡県福岡市博多区祇園町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76159579/
サーパス大博通り,1880,34,地下鉄空港線,中洲川端,15,1LDK,54.1,福岡県福岡市博多区大博町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75504244/
ダイアパレスマインズ原,1890,35,地下鉄空港線,藤崎,27,3LDK,61.5,福岡県福岡市早良区原５-2-27,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75516057/
ロマネスク祇園,1980,44,地下鉄七隈線,櫛田神社前,3,ワンルーム,40.56,福岡県福岡市博多区祇園町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76229000/
ハイツ高宮,1990,50,地下鉄七隈線,薬院,21,2LDK+S（納戸）,70.29,福岡県福岡市南区高宮１-11-22,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75531024/
東峰マンション大宮,1995,46,西鉄天神大牟田線,薬院,7,2LDK,60.05,福岡県福岡市中央区大宮１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76164873/
ロワールマンション西公園2,2000,40,地下鉄空港線,大濠公園,15,3LDK,62.17,福岡県福岡市中央区港３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75815702/
ロワールマンション西公園２,2000,40,地下鉄空港線,大濠公園,16,3LDK,62.17,福岡県福岡市中央区港３-11-5,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76183917/
メゾン高砂,2090,46,西鉄天神大牟田線,薬院,13,3LDK,80.13,福岡県福岡市中央区高砂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75552672/
ライオンズマンション薬院,2098,45,地下鉄七隈線,薬院大通,8,1LDK,40.87,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76156558/
ライオンズマンションマキシム萩の宮,2098,43,地下鉄七隈線,薬院大通,23,2LDK,62.49,福岡県福岡市南区高宮１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75577795/
コープ東薬院,2100,44,地下鉄七隈線,薬院,6,3LDK,69.92,福岡県福岡市中央区高砂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76225824/
高宮ハウスB棟,2150,42,地下鉄七隈線,薬院大通,26,3LDK,75.57,福岡県福岡市南区高宮４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74249250/
グランピア荒江,2198,44,地下鉄空港線,西新,17,2LDK+S（納戸）,70.92,福岡県福岡市早良区荒江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75128328/
グランピア荒江,2198,44,地下鉄空港線,西新,17,2LDK+S（納戸）,70.92,福岡県福岡市早良区荒江２-3-16,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75128247/
ライオンズマンション薬院,2198,45,地下鉄七隈線,薬院大通,7,1LDK,40.87,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76143754/
高宮ハウスB棟,2199,42,地下鉄七隈線,薬院,25,3LDK,76.57,福岡県福岡市南区高宮４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_76203971/
