name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
ライオンズマンション平尾台３号棟　中古マンション,1380,福岡県福岡市中央区平尾５,地下鉄七隈線「薬院大通」徒歩19分,82.46,2LDK,1980年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74814536/,薬院大通,地下鉄七隈線,19,1980-05-01,44
アンピール駅東,1680,福岡県福岡市博多区東光２,ＪＲ鹿児島本線「博多」徒歩13分,56.15,3DK,1983年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74972680/,博多,ＪＲ鹿児島本線,13,1983-03-01,41
鳥飼リバーハイツ　中古マンション,1870,福岡県福岡市城南区鳥飼４,地下鉄七隈線「別府」徒歩12分,71.91,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74924548/,別府,地下鉄七隈線,12,1979-08-01,45
ヒューマンズ小笹,1880,福岡県福岡市中央区小笹３-21-46,地下鉄七隈線「桜坂」徒歩28分,80.59,3LDK+S（納戸）,1989年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74729729/,桜坂,地下鉄七隈線,28,1989-03-01,35
◇LDK17帖のプランもご提案可能◇リーベスト小笹,2130,福岡県福岡市中央区小笹４,地下鉄七隈線「桜坂」徒歩22分,71.15,3LDK,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73375829/,桜坂,地下鉄七隈線,22,1996-03-01,28
ライオンズマンションマキシム萩の宮,2190,福岡県福岡市南区高宮１,地下鉄七隈線「薬院大通」徒歩23分,62.49,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74934664/,薬院大通,地下鉄七隈線,23,1981-03-01,43
東峰マンション大濠,2190,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩15分,72.9,2LDK,1977年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71894128/,六本松,地下鉄七隈線,15,1977-07-01,47
サンライフ西公園　905号室,2280,福岡県福岡市中央区荒戸３,地下鉄七隈線「六本松」徒歩23分,83.68,4LDK,1977年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74792088/,六本松,地下鉄七隈線,23,1977-01-01,47
スコーレ笹丘,2320,福岡県福岡市中央区笹丘３,地下鉄七隈線「別府」徒歩23分,87.14,3LDK,1983年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74133105/,別府,地下鉄七隈線,23,1983-02-01,41
シャンボール大濠　中古マンション,2390,福岡県福岡市中央区鳥飼３,地下鉄七隈線「別府」徒歩14分,74.88,3LDK,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74127773/,別府,地下鉄七隈線,14,1978-08-01,46
ロマネスク大名,2698,福岡県福岡市中央区大名１,地下鉄七隈線「薬院大通」徒歩12分,57.96,2LDK,1987年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74934138/,薬院大通,地下鉄七隈線,12,1987-07-01,37
ロマネスク大名,2698,福岡県福岡市中央区大名１,地下鉄七隈線「薬院大通」徒歩12分,57.96,2LDK,1984年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74954036/,薬院大通,地下鉄七隈線,12,1984-07-01,40
祖原公園ハウス,2790,福岡県福岡市早良区祖原,地下鉄七隈線「別府」徒歩20分,66.62,2LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74689372/,別府,地下鉄七隈線,20,1983-08-01,41
ラインズマンション六本松　中古マンション,2990,福岡県福岡市中央区谷１,地下鉄七隈線「桜坂」徒歩7分,70.29,3LDK,1986年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74421962/,桜坂,地下鉄七隈線,7,1986-12-01,38
トーカンマンション今泉,3250,福岡県福岡市中央区今泉１,西鉄天神大牟田線「薬院」徒歩8分,83.68,3LDK,1980年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74784504/,薬院,西鉄天神大牟田線,8,1980-06-01,44
クリオラベルヴィ博多,3390,福岡県福岡市博多区比恵町,ＪＲ鹿児島本線「博多」徒歩13分,43.36,2LDK,2019年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74792176/,博多,ＪＲ鹿児島本線,13,2019-10-01,5
クリオラベルヴィ博多,3390,福岡県福岡市博多区比恵町,ＪＲ鹿児島本線「博多」徒歩10分,43.36,2LDK,2019年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74802697/,博多,ＪＲ鹿児島本線,10,2019-10-01,5
ライオンズガーデンシティ鳥飼I番館,3680,福岡県福岡市城南区鳥飼４,地下鉄七隈線「別府」徒歩9分,74.11,3LDK,1998年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74651887/,別府,地下鉄七隈線,9,1998-07-01,26
グランディア高宮ヒルズ,3700,福岡県福岡市南区高宮４,西鉄天神大牟田線「薬院」徒歩31分,83.38,3LDK+S（納戸）,2005年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_72993054/,薬院,西鉄天神大牟田線,31,2005-05-01,19
アンピール天神東,3880,福岡県福岡市中央区春吉２,西鉄天神大牟田線「薬院」徒歩13分,65.04,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72841284/,薬院,西鉄天神大牟田線,13,2004-02-01,20
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,ＪＲ鹿児島本線「博多」徒歩21分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74862900/,博多,ＪＲ鹿児島本線,21,2019-09-01,5
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,ＪＲ鹿児島本線「博多」徒歩22分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74948617/,博多,ＪＲ鹿児島本線,22,2019-09-01,5
パレスト別府駅前,4280,福岡県福岡市城南区別府３,地下鉄七隈線「別府」徒歩1分,75.44,3LDK,2006年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74094076/,別府,地下鉄七隈線,1,2006-01-01,18
ダイアパレス赤坂けやき通り,4280,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩12分,67.64,3LDK,2000年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74616643/,桜坂,地下鉄七隈線,12,2000-09-01,24
笹丘パークマンション,4480,福岡県福岡市中央区笹丘３,地下鉄七隈線「桜坂」徒歩35分,102.69,4LDK,1995年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74672377/,桜坂,地下鉄七隈線,35,1995-03-01,29
アンピールリーヴァス天神,4480,福岡県福岡市中央区春吉１,地下鉄七隈線「天神南」徒歩11分,74.75,3LDK,1998年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74996654/,天神南,地下鉄七隈線,11,1998-05-01,26
ダイアパレスプレッソけやき通り,4880,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩7分,65.76,2LDK,1996年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74692306/,薬院大通,地下鉄七隈線,7,1996-10-01,28
ライオンズタワー赤坂けやき通り,5000,福岡県福岡市中央区赤坂２,地下鉄七隈線「桜坂」徒歩11分,60.05,2LDK,2007年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74606216/,桜坂,地下鉄七隈線,11,2007-01-01,17
アーティックス大濠,5280,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩10分,81.12,3LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74918209/,六本松,地下鉄七隈線,10,2004-02-01,20
ハウベスト赤坂けやき通り,5480,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩10分,79.0,3LDK,1998年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75011369/,桜坂,地下鉄七隈線,10,1998-09-01,26
平尾山荘ヒルズ,5680,福岡県福岡市中央区平尾５,地下鉄七隈線「薬院大通」徒歩13分,92.66,4LDK,1997年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72331375/,薬院大通,地下鉄七隈線,13,1997-08-01,27
ラフォーレ赤坂ルネッサンス,5830,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩9分,90.47,2LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74942805/,桜坂,地下鉄七隈線,9,2000-12-01,24
ラフォーレ赤坂ルネッサンス,5830,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩7分,90.47,2LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73880138/,桜坂,地下鉄七隈線,7,2000-12-01,24
ザ・パークハウス桜坂サンリヤン,5980,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,62.55,2LDK,2018年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74808961/,桜坂,地下鉄七隈線,3,2018-09-01,6
ファーネスト平尾駅前レジスタ,6180,福岡県福岡市中央区大宮２,地下鉄七隈線「薬院」徒歩12分,86.26,4LDK,2015年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74986473/,薬院,地下鉄七隈線,12,2015-04-01,9
ザ・パークハウス桜坂サンリヤン,6380,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,73.6,3LDK,2018年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74888583/,桜坂,地下鉄七隈線,3,2018-09-01,6
ザ・パークハウス桜坂サンリヤン,6600,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,73.63,3LDK,2018年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74850545/,桜坂,地下鉄七隈線,3,2018-09-01,6
アプローズ薬院デュオイースト,7680,福岡県福岡市中央区薬院２-7-29,地下鉄七隈線「薬院大通」徒歩4分,100.14,4LDK,2003年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74629595/,薬院大通,地下鉄七隈線,4,2003-07-01,21
パークホームズ警固本通り,7950,福岡県福岡市中央区警固２,地下鉄七隈線「薬院大通」徒歩12分,93.66,2LDK,2009年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74038618/,薬院大通,地下鉄七隈線,12,2009-10-01,15
プレミスト平尾１丁目,8340,福岡県福岡市中央区平尾１,西鉄天神大牟田線「薬院」徒歩3分,90.22,3LDK,2014年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73305821/,薬院,西鉄天神大牟田線,3,2014-10-01,10
大濠オドゥール,8480,福岡県福岡市中央区大濠１,地下鉄七隈線「六本松」徒歩12分,99.99,3LDK,1998年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75022078/,六本松,地下鉄七隈線,12,1998-09-01,26
コアマンションけやき通りプレジオ,9980,福岡県福岡市中央区赤坂３,地下鉄七隈線「六本松」徒歩10分,133.37,4LDK,2002年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74947240/,六本松,地下鉄七隈線,10,2002-10-01,22
プレミスト大濠二丁目,12500,福岡県福岡市中央区大濠２,地下鉄七隈線「六本松」徒歩16分,82.33,2LDK,2023年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73748454/,六本松,地下鉄七隈線,16,2023-03-01,1
